scene name,JACK,ALGERNON,GWENDOLEN,LANE,LORD BRACKNELL,MISS PRISM,CECILY,CHASUBLE,MERRIMAN,TOTAL
Scène I-1,0,28,0,12,0,0,0,0,0,40
Scène I-2,34,46,0,1,0,0,0,0,0,81
Scène I-3,55,85,0,1,0,0,0,0,0,141
Scène I-4,1,19,6,5,42,0,0,0,0,73
Scène I-5,22,0,59,0,11,0,0,0,0,92
Scène I-6,39,0,0,0,63,0,0,0,0,102
Scène I-7,58,52,22,7,0,0,0,0,0,139
Scène II-1,0,0,0,0,0,41,35,15,7,98
Scène II-2,0,33,0,0,0,0,36,0,0,69
Scène II-3,29,0,0,0,0,28,13,50,0,120
Scène II-4,30,22,0,0,0,2,12,3,7,76
Scène II-5,0,53,0,0,0,0,78,0,9,140
Scène II-6,0,0,0,0,0,41,35,15,7,98
TOTAL,268,338,87,26,116,112,209,83,30,1269
